Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/api/Values/1000,200,152,112,291,34.62,0.000%,27.30003,1957.25,11.56,73414.8
/ValuesService/GetSalesOrderHeaderDetails/1000,200,206,124,416,60.98,0.000%,23.69107,1862.94,10.73,80522.0
/api/Values/5000,200,1340,541,2646,423.58,0.000%,6.44288,2274.53,2.73,361502.9
/ValuesService/GetSalesOrderHeaderDetails/5000,200,1627,623,3003,490.82,0.000%,5.32198,2052.97,2.41,395011.1
/api/Values/10000,200,2884,1147,5576,778.46,0.000%,3.02476,4579.47,1.28,1550330.6
/ValuesService/GetSalesOrderHeaderDetails/10000,200,3370,1566,6864,940.17,0.000%,2.66450,14947.19,1.21,5744389.0
/api/Values/500,200,69,59,194,13.22,0.000%,34.15301,1424.20,14.43,42701.2
/ValuesService/GetSalesOrderHeaderDetails/500,200,77,62,120,10.97,0.000%,33.19502,1537.97,15.00,47443.2
/api/Values/100,200,21,18,54,5.39,0.000%,40.54328,268.33,17.13,6777.2
/ValuesService/GetSalesOrderHeaderDetails/100,200,22,19,48,3.97,0.000%,40.16064,283.13,18.15,7219.2
/api/Values,200,13,11,52,4.88,0.000%,41.93751,18.11,17.56,442.2
/ValuesService/Get,200,13,11,31,3.28,0.000%,41.87605,17.06,17.82,417.2
TOTAL,2400,816,11,6864,1228.68,0.000%,3.79051,2563.46,1.65,692514.2
